filename Ptrue Pbrani Pjames RRtype
ps1_-3218859872732565742cleaned.txt 0.687576 0.687572 0.406051 ab
ps1_-3236786310311805421cleaned.txt 0.262328 0.356312 0.775113 c
ps1_-3254923854123628099cleaned.txt 0.682100 0.682094 0.214095 ab
ps1_-3266288406308450226cleaned.txt 0.583379 0.583332 0.452630 ab
ps1_-3272674369842698828cleaned.txt 0.408127 0.406234 0.355256 c
ps1_-3272832699516787335cleaned.txt 0.570872 0.570856 0.440501 ab
ps1_-3272885476074965601cleaned.txt 0.549881 0.549022 0.738549 ab
ps1_-3284285212631726893cleaned.txt 0.636775 0.636760 1.106242 ab
ps1_-3284461134492449972cleaned.txt 0.336405 0.546929 0.336405 c
ps1_-3302545901746101809cleaned.txt 0.617989 0.618013 1.243060 ab
ps1_-3308826312163958619cleaned.txt 0.507847 0.507865 0.350149 ab
ps1_-3308914273094188086cleaned.txt 0.586114 0.586126 2.946822 ab
ps1_-3309037418396450146cleaned.txt 0.542617 0.542619 0.542615 ab
ps1_-3320314009650846335cleaned.txt 0.581608 0.581611 0.958797 ab
ps1_-3344943070112989600cleaned.txt 0.554792 0.554793 0.332240 ab
ps1_-3344978254484655117cleaned.txt 0.559210 0.559206 0.386558 ab
ps1_-3345013438857194124cleaned.txt 0.532723 0.532724 0.605663 ab
ps1_-3345031031043250203cleaned.txt 0.585812 0.585803 0.481416 ab
ps1_-3345066215415347753cleaned.txt 0.459102 0.455851 0.852770 ab
ps1_-3380919090573945231cleaned.txt 0.576610 0.517139 0.739279 ab
ps1_-3380971867131967122cleaned.txt 0.758405 0.758428 3.168271 ab
ps1_-3399074226571401703cleaned.txt 0.446055 0.506124 0.404865 ab
ps1_-3446537944519669998cleaned.txt 0.638969 0.638953 1.301779 ab
ps1_-3453064645542012574cleaned.txt 0.529973 0.529968 0.531607 ab
ps1_-3453117422099854625cleaned.txt 0.670265 0.670259 2.068599 ab
ps1_-3453135014285899645cleaned.txt 0.312325 0.312318 0.312322 c
ps1_-3453205383030423716cleaned.txt 0.315617 0.661578 0.464135 c
